season,leagueName,teamName,total_games,won,drawn,lost,ht_won,ht_drawn,ht_lost,ht_ft_won,GF,GA,GD,points_per_game,GF_per_game,xG_per_game,GF_to_xG_per_game,GA_per_game,GD_per_game,shots_per_game,shotsOnTarget_per_game,corners_per_game,win_ratio,drawn_ratio,loss_ratio,ht_win_ratio,ht_drawn_ratio,ht_lost_ratio,ht_ft_win_ratio
2017,"Premier League","Manchester City",38,32,4,2,24,11,3,22,106,27,79,2.63,2.79,2.41,1.16,0.71,2.0789,17.45,6.95,7.47,0.8421,0.1053,0.0526,0.63,0.29,0.08,0.58
2019,"Premier League",Liverpool,38,32,3,3,24,9,5,23,85,33,52,2.61,2.24,1.98,1.13,0.87,1.3684,15.55,6.08,6.79,0.8421,0.0789,0.0789,0.63,0.24,0.13,0.61
2015,Bundesliga,"Bayern Munich",34,28,4,2,19,11,4,18,80,17,63,2.59,2.35,2.27,1.04,0.50,1.8529,18.44,7.74,6.71,0.8235,0.1176,0.0588,0.56,0.32,0.12,0.53
2018,"Premier League","Manchester City",38,32,2,4,25,11,2,24,95,23,72,2.58,2.50,2.47,1.01,0.61,1.8947,17.97,6.84,7.55,0.8421,0.0526,0.1053,0.66,0.29,0.05,0.63
2018,"Premier League",Liverpool,38,30,7,1,21,14,3,21,89,22,67,2.55,2.34,2.09,1.12,0.58,1.7632,15.13,5.95,6.55,0.7895,0.1842,0.0263,0.55,0.37,0.08,0.55
2015,"Ligue 1","Paris Saint Germain",38,30,6,2,19,17,2,18,102,19,83,2.53,2.68,2.27,1.18,0.50,2.1842,14.87,6.63,5.37,0.7895,0.1579,0.0526,0.50,0.45,0.05,0.47
2019,"Ligue 1","Paris Saint Germain",27,22,2,3,16,8,3,15,75,24,51,2.52,2.78,2.83,0.98,0.89,1.8889,16.59,7.22,6.70,0.8148,0.0741,0.1111,0.59,0.30,0.11,0.56
2016,"Ligue 1",Monaco,38,30,5,3,23,10,5,21,107,31,76,2.50,2.82,2,1.41,0.82,2.0000,14.61,6.42,6.08,0.7895,0.1316,0.0789,0.61,0.26,0.13,0.55
2017,"Serie A",Juventus,38,30,5,3,22,14,2,19,86,24,62,2.50,2.26,1.56,1.45,0.63,1.6316,14.61,5.45,4.89,0.7895,0.1316,0.0789,0.58,0.37,0.05,0.50
2017,Bundesliga,"Bayern Munich",34,27,3,4,19,10,5,17,92,28,64,2.47,2.71,2.25,1.2,0.82,1.8824,17.68,6.97,6.56,0.7941,0.0882,0.1176,0.56,0.29,0.15,0.50
2014,"La Liga",Barcelona,38,30,4,4,21,14,3,19,110,21,89,2.47,2.89,2.71,1.07,0.55,2.3421,16.45,7.18,6.13,0.7895,0.1053,0.1053,0.55,0.37,0.08,0.50
2016,"La Liga","Real Madrid",38,29,6,3,22,14,2,22,106,41,65,2.45,2.79,2.39,1.17,1.08,1.7105,17.45,6.97,5.87,0.7632,0.1579,0.0789,0.58,0.37,0.05,0.58
2017,"La Liga",Barcelona,38,28,9,1,20,12,6,19,99,29,70,2.45,2.61,2.38,1.09,0.76,1.8421,15.26,7.16,5.66,0.7368,0.2368,0.0263,0.53,0.32,0.16,0.50
2017,"Ligue 1","Paris Saint Germain",38,29,6,3,21,15,2,20,108,29,79,2.45,2.84,2.37,1.2,0.76,2.0789,16.47,6.66,6.71,0.7632,0.1579,0.0789,0.55,0.39,0.05,0.53
2016,"Premier League",Chelsea,38,30,3,5,21,11,6,19,85,33,52,2.45,2.24,1.63,1.38,0.87,1.3684,15.26,5.37,5.74,0.7895,0.0789,0.1316,0.55,0.29,0.16,0.50
2014,"La Liga","Real Madrid",38,30,2,6,24,11,3,23,118,38,80,2.42,3.11,2.52,1.23,1.00,2.1053,18.05,7.45,6.47,0.7895,0.0526,0.1579,0.63,0.29,0.08,0.61
2016,Bundesliga,"Bayern Munich",34,25,7,2,17,12,5,16,89,22,67,2.41,2.62,2.17,1.2,0.65,1.9706,18.29,6.76,7.15,0.7353,0.2059,0.0588,0.50,0.35,0.15,0.47
2019,Bundesliga,"Bayern Munich",34,26,4,4,21,10,3,21,100,32,68,2.41,2.94,2.73,1.08,0.94,2.0000,18.09,7.47,7.06,0.7647,0.1176,0.1176,0.62,0.29,0.09,0.62
2015,"Serie A",Juventus,38,29,4,5,20,14,4,20,75,20,55,2.39,1.97,1.66,1.19,0.53,1.4474,15.76,5.66,5.58,0.7632,0.1053,0.1316,0.53,0.37,0.11,0.53
2016,"Serie A",Juventus,38,29,4,5,19,15,4,18,77,27,50,2.39,2.03,1.81,1.12,0.71,1.3158,15.34,5.79,5.84,0.7632,0.1053,0.1316,0.50,0.39,0.11,0.47
2017,"Serie A",Napoli,38,28,7,3,17,15,6,16,77,29,48,2.39,2.03,1.85,1.09,0.76,1.2632,17.24,6.76,6.34,0.7368,0.1842,0.0789,0.45,0.39,0.16,0.42
2020,"Serie A",Inter,38,28,7,3,15,16,7,14,89,35,54,2.39,2.34,2.06,1.14,0.92,1.4211,14.55,5.34,5.42,0.7368,0.1842,0.0789,0.39,0.42,0.18,0.37
2015,"La Liga",Barcelona,38,29,4,5,21,14,3,19,112,29,83,2.39,2.95,2.99,0.99,0.76,2.1842,15.92,7.00,5.84,0.7632,0.1053,0.1316,0.55,0.37,0.08,0.50
2018,"Ligue 1","Paris Saint Germain",38,29,4,5,19,14,5,18,105,35,70,2.39,2.76,2.51,1.1,0.92,1.8421,14.84,6.05,6.26,0.7632,0.1053,0.1316,0.50,0.37,0.13,0.47
